keyword,category,language
"رحلات داخل مصر","general","ar"
"عروض رحلات داخل مصر","offers","ar"
"اسعار رحلات داخل مصر","prices","ar"
"حجز رحلات داخل مصر","booking","ar"
"باقات سفر داخل مصر","packages","ar"
"برنامج سياحي داخل مصر","itinerary","ar"
"رحلات ويك اند داخل مصر","weekend","ar"
"رحلات يوم واحد داخل مصر","day_trip","ar"
"رحلات عائلية داخل مصر","family","ar"
"رحلات شهر العسل داخل مصر","honeymoon","ar"
"رحلات شباب داخل مصر","youth","ar"
"Local trips in Egypt","general","en"
"Domestic travel in Egypt","general","en"
"Egypt local travel packages","packages","en"
"Egypt tour packages prices","prices","en"
"Egypt travel deals","offers","en"
"Egypt weekend getaways","weekend","en"
"Egypt day trips","day_trip","en"
"Best places to visit in Egypt locally","general","en"

"رحلات الاسكندرية","destination","ar"
"عروض الاسكندرية","offers","ar"
"اسعار رحلات الاسكندرية","prices","ar"
"برنامج سياحي الاسكندرية 2 يوم","itinerary","ar"
"فنادق الاسكندرية اسعار على البحر","prices","ar"
"حجز فندق الاسكندرية","booking","ar"
"Alexandria Egypt trip package","destination","en"
"Alexandria Egypt hotel deals","offers","en"
"Alexandria Egypt hotels prices","prices","en"
"Alexandria weekend trip","weekend","en"
"things to do in Alexandria Egypt","itinerary","en"

"رحلات مرسى مطروح","destination","ar"
"عروض مرسى مطروح","offers","ar"
"اسعار فنادق مرسى مطروح","prices","ar"
"برنامج مرسى مطروح 4 ايام","itinerary","ar"
"حجز فنادق مرسى مطروح","booking","ar"
"شواطئ مرسى مطروح عجيبة الغرام الأبيض","itinerary","ar"
"Marsa Matrouh trip package","destination","en"
"Marsa Matrouh hotel deals","offers","en"
"best hotels in Marsa Matrouh","prices","en"
"Matrouh beaches Agiba El Gharam El Obayed","itinerary","en"

"رحلات الساحل الشمالي","destination","ar"
"عروض الساحل الشمالي","offers","ar"
"اسعار الساحل الشمالي","prices","ar"
"اسعار شاليهات الساحل الشمالي","prices","ar"
"برنامج الساحل الشمالي 3 ايام","itinerary","ar"
"North Coast Egypt trip package","destination","en"
"North Coast Egypt resort deals","offers","en"
"North Coast Egypt resorts prices","prices","en"
"El Alamein trip package","destination","en"
"Sidi Abdel Rahman resorts prices","prices","en"

"رحلات العين السخنة","destination","ar"
"عروض العين السخنة","offers","ar"
"اسعار منتجعات العين السخنة","prices","ar"
"رحلات العين السخنة يوم واحد","day_trip","ar"
"Ain Sokhna day trip","day_trip","en"
"Ain Sokhna resort deals","offers","en"
"Ain Sokhna resort prices","prices","en"
"Ain Sokhna weekend getaway","weekend","en"

"رحلات رأس سدر","destination","ar"
"عروض رأس سدر","offers","ar"
"اسعار فنادق رأس سدر","prices","ar"
"رأس سدر كايت سيرف","itinerary","ar"
"Ras Sedr trip package","destination","en"
"Ras Sedr resort deals","offers","en"
"Ras Sedr hotels prices","prices","en"
"Ras Sedr kitesurfing","itinerary","en"

"رحلات شرم الشيخ","destination","ar"
"عروض شرم الشيخ","offers","ar"
"اسعار فنادق شرم الشيخ","prices","ar"
"شرم الشيخ all inclusive","offers","ar"
"برنامج شرم الشيخ 4 ايام","itinerary","ar"
"Sharm El Sheikh package deals","offers","en"
"Sharm El Sheikh all inclusive resorts","offers","en"
